Bx	Pth	Multipactor Order
0.100000	20116.200000	1.934540
0.079433	14355.100000	1.792170
0.104713	21288.200000	1.953690
0.066069	14941.100000	2.011640
0.104713	22460.100000	1.942660
0.079433	14159.800000	1.773650
0.104713	22069.400000	1.897240
0.002089	78902.400000	61.229100
0.069183	14159.800000	1.988970
0.104713	20897.500000	1.903100
0.104713	20897.500000	1.933190
0.079433	14355.100000	1.818340
0.109648	22069.400000	1.944530
0.069183	13769.200000	1.894290
0.109648	24022.600000	1.945070
0.079433	14355.100000	1.811620
0.109648	24022.600000	1.946100
0.001047	72652.000000	57.348800
0.069183	13964.500000	1.993950
0.109648	23632.000000	1.946070
0.114815	26757.100000	1.922590
0.079433	14355.100000	1.777330
0.109648	22850.700000	1.950350
0.114815	25975.800000	1.918440
0.144544	29882.200000	1.785930
0.114815	26366.500000	1.875620
0.144544	33397.900000	1.789520
0.083176	15917.700000	1.628030
0.144544	44138.900000	1.810790
0.114815	26366.500000	1.934230
0.144544	35544.700000	1.645560
0.114815	26757.100000	1.913440
0.151356	33982.100000	1.702530
0.120226	29100.900000	1.887560
0.151356	50389.100000	1.593530
0.083176	15917.700000	1.722010
0.120226	26366.500000	1.779560
0.151356	50389.100000	1.622830
0.120226	24803.900000	1.850970
0.151356	35544.700000	1.721370
0.151356	48826.600000	1.585250
0.083176	15527.000000	1.596980
0.120226	26366.500000	1.918240
0.158489	53514.200000	1.460060
0.003802	66014.500000	44.292400
0.120226	28710.300000	1.852640
0.083176	15527.000000	1.666290
0.158489	51951.700000	1.495170
0.125893	30272.800000	1.884240
0.158489	62889.400000	1.497640
0.004786	63670.700000	25.757600
0.125893	33007.200000	1.899160
0.083176	15917.700000	1.737760
0.158489	56639.300000	1.528900
0.125893	30663.400000	1.809960
0.125893	31444.700000	1.812860
0.158489	50389.100000	1.479880
0.087096	18163.000000	1.609950
0.125893	37888.600000	1.890260
0.165959	60545.600000	1.334270
0.131826	37888.600000	1.710510
0.165959	62889.400000	1.325000
0.165959	nan	nan
0.131826	37888.600000	1.825520
0.087096	18163.000000	1.620330
0.165959	85152.700000	1.327040
0.131826	31054.100000	1.845450
0.165959	49607.800000	1.381320
0.173780	nan	nan
0.173780	nan	nan
0.131826	37888.600000	1.839350
0.173780	nan	nan
0.173780	nan	nan
0.087096	18163.000000	1.571770
0.131826	33982.100000	1.867950
0.173780	195306.000000	1.056070
0.181970	nan	nan
0.181970	nan	nan
0.181970	nan	nan
0.138038	27929.000000	1.815610
0.181970	nan	nan
0.181970	nan	nan
0.138038	37888.600000	1.763410
0.087096	17772.400000	1.525320
0.190546	856227.000000	0.798093
0.138038	41013.800000	1.778000
0.229087	403113.000000	0.672791
0.138038	37888.600000	1.777690
0.190546	918729.000000	0.806527
0.229087	403113.000000	0.691433
0.138038	37888.600000	1.793630
0.190546	881228.000000	0.808945
0.144544	37888.600000	1.647060
0.288403	nan	nan
0.239883	471865.000000	0.598086
0.301995	nan	nan
0.301995	nan	nan
0.301995	nan	nan
0.301995	nan	nan
0.301995	nan	nan
0.316228	nan	nan
0.239883	515616.000000	0.640013
0.316228	nan	nan
0.190546	881228.000000	0.684246
0.316228	nan	nan
0.316228	nan	nan
0.316228	nan	nan
0.331131	nan	nan
0.331131	nan	nan
0.331131	nan	nan
0.331131	nan	nan
0.239883	503115.000000	0.631856
0.331131	nan	nan
0.346737	nan	nan
0.190546	931229.000000	0.783926
0.346737	nan	nan
0.239883	390612.000000	0.606666
0.346737	nan	nan
0.346737	nan	nan
0.239883	396863.000000	0.627122
0.346737	nan	nan
0.363078	nan	nan
0.363078	nan	nan
0.363078	nan	nan
0.199526	556215.000000	0.798387
0.363078	nan	nan
0.251189	556215.000000	0.525129
0.363078	nan	nan
0.002884	71089.500000	42.865200
0.380189	nan	nan
0.199526	543714.000000	0.768440
0.380189	nan	nan
0.380189	nan	nan
0.380189	nan	nan
0.380189	nan	nan
0.251189	521866.000000	0.589177
0.398107	nan	nan
0.398107	nan	nan
0.398107	nan	nan
0.199526	556215.000000	0.778984
0.398107	nan	nan
0.398107	nan	nan
0.416869	nan	nan
0.416869	nan	nan
0.251189	528116.000000	0.579965
0.416869	nan	nan
0.199526	568716.000000	0.743359
0.416869	nan	nan
0.416869	nan	nan
0.436516	nan	nan
0.436516	nan	nan
0.436516	nan	nan
0.251189	521866.000000	0.552425
0.436516	nan	nan
0.436516	nan	nan
0.199526	521866.000000	0.796550
0.457088	nan	nan
0.457088	nan	nan
0.251189	496865.000000	0.595700
0.457088	nan	nan
0.457088	nan	nan
0.208930	371862.000000	0.703199
0.457088	nan	nan
0.478630	nan	nan
0.478630	nan	nan
0.208930	396863.000000	0.695600
0.263027	868728.000000	0.526101
0.478630	nan	nan
0.478630	nan	nan
0.478630	nan	nan
0.501187	nan	nan
0.501187	nan	nan
0.208930	353111.000000	0.749506
0.263027	743724.000000	0.529846
0.501187	nan	nan
0.501187	nan	nan
0.501187	nan	nan
0.208930	384362.000000	0.673270
0.524807	nan	nan
0.524807	nan	nan
0.263027	868728.000000	0.605510
0.524807	nan	nan
0.524807	nan	nan
0.524807	nan	nan
0.549541	nan	nan
0.263027	793725.000000	0.568733
0.208930	471865.000000	0.744195
0.549541	nan	nan
0.549541	nan	nan
0.549541	nan	nan
0.549541	nan	nan
0.575440	nan	nan
0.575440	nan	nan
0.575440	nan	nan
0.263027	906228.000000	0.568281
0.575440	nan	nan
0.275423	nan	nan
0.575440	nan	nan
0.218776	409363.000000	0.660855
0.275423	nan	nan
0.602560	nan	nan
0.602560	nan	nan
0.275423	nan	nan
0.602560	nan	nan
0.275423	nan	nan
0.602560	nan	nan
0.275423	nan	nan
0.602560	nan	nan
0.218776	334360.000000	0.631733
0.630957	nan	nan
0.288403	nan	nan
0.630957	nan	nan
0.288403	nan	nan
0.630957	nan	nan
0.288403	nan	nan
0.630957	nan	nan
0.288403	nan	nan
0.630957	nan	nan
0.218776	378112.000000	0.708599
0.758578	nan	nan
0.660693	nan	nan
0.758578	nan	nan
0.660693	nan	nan
0.794328	nan	nan
0.660693	nan	nan
0.794328	nan	nan
0.660693	nan	nan
0.218776	334360.000000	0.685967
0.794328	nan	nan
0.660693	nan	nan
0.794328	nan	nan
0.691831	nan	nan
0.794328	nan	nan
0.691831	nan	nan
0.831764	nan	nan
0.691831	nan	nan
0.218776	296859.000000	0.676325
0.831764	nan	nan
0.691831	nan	nan
0.831764	nan	nan
0.691831	nan	nan
0.831764	nan	nan
0.724436	nan	nan
0.831764	nan	nan
0.724436	nan	nan
0.870964	nan	nan
0.724436	nan	nan
0.870964	nan	nan
0.724436	nan	nan
0.870964	nan	nan
0.724436	nan	nan
0.870964	nan	nan
0.758578	nan	nan
0.870964	nan	nan
0.758578	nan	nan
0.229087	403113.000000	0.672187
0.912011	nan	nan
0.758578	nan	nan
0.912011	nan	nan
0.954993	nan	nan
0.912011	nan	nan
1.000000	nan	nan
0.912011	nan	nan
1.000000	nan	nan
0.912011	nan	nan
1.000000	nan	nan
0.229087	334360.000000	0.724329
1.000000	nan	nan
0.954993	nan	nan
1.000000	nan	nan
0.954993	nan	nan
1.047129	nan	nan
0.954993	nan	nan
1.047129	nan	nan
0.954993	nan	nan
1.047129	nan	nan
1.258925	nan	nan
1.258925	nan	nan
1.047129	nan	nan
1.258925	nan	nan
1.047129	nan	nan
1.258925	nan	nan
1.096478	nan	nan
0.229087	403113.000000	0.702972
1.584893	nan	nan
1.584893	nan	nan
1.584893	nan	nan
1.584893	nan	nan
1.659587	nan	nan
1.659587	nan	nan
1.659587	nan	nan
1.659587	nan	nan
1.659587	nan	nan
1.737801	nan	nan
1.737801	nan	nan
1.737801	nan	nan
1.258925	nan	nan
1.737801	nan	nan
1.318257	nan	nan
0.003802	67964.300000	28.213100
1.737801	nan	nan
1.096478	nan	nan
1.318257	nan	nan
1.819701	nan	nan
1.096478	nan	nan
1.318257	nan	nan
1.819701	nan	nan
1.096478	nan	nan
0.001318	82027.500000	70.536500
1.318257	nan	nan
1.819701	nan	nan
1.096478	nan	nan
1.318257	nan	nan
1.819701	nan	nan
1.148154	nan	nan
1.380384	nan	nan
1.819701	nan	nan
1.148154	nan	nan
1.380384	nan	nan
1.148154	nan	nan
1.905461	nan	nan
1.380384	nan	nan
1.148154	nan	nan
1.905461	nan	nan
1.380384	nan	nan
1.148154	nan	nan
1.905461	nan	nan
1.380384	nan	nan
1.202264	nan	nan
1.905461	nan	nan
1.445440	nan	nan
1.202264	nan	nan
1.905461	nan	nan
1.445440	nan	nan
1.995262	nan	nan
1.202264	nan	nan
1.445440	nan	nan
1.995262	nan	nan
1.202264	nan	nan
1.445440	nan	nan
1.995262	nan	nan
1.202264	nan	nan
1.445440	nan	nan
1.995262	nan	nan
2.511886	nan	nan
1.513561	nan	nan
1.995262	nan	nan
2.511886	nan	nan
1.513561	nan	nan
2.630268	nan	nan
2.089296	nan	nan
1.513561	nan	nan
2.630268	nan	nan
2.089296	nan	nan
1.513561	nan	nan
2.630268	nan	nan
2.089296	nan	nan
1.513561	nan	nan
2.630268	nan	nan
2.089296	nan	nan
1.584893	nan	nan
2.630268	nan	nan
2.089296	nan	nan
3.162278	nan	nan
2.754229	nan	nan
2.187762	nan	nan
3.311311	nan	nan
2.754229	nan	nan
2.187762	nan	nan
3.311311	nan	nan
2.754229	nan	nan
2.187762	nan	nan
3.311311	nan	nan
2.754229	nan	nan
2.187762	nan	nan
3.311311	nan	nan
2.754229	nan	nan
2.187762	nan	nan
3.311311	nan	nan
0.001047	74214.600000	58.027600
2.884032	nan	nan
2.290868	nan	nan
3.467369	nan	nan
2.884032	nan	nan
2.290868	nan	nan
3.467369	nan	nan
2.884032	nan	nan
3.467369	nan	nan
2.884032	nan	nan
2.290868	nan	nan
3.467369	nan	nan
2.884032	nan	nan
2.290868	nan	nan
3.467369	nan	nan
3.019952	nan	nan
2.290868	nan	nan
3.630781	nan	nan
3.019952	nan	nan
2.398833	nan	nan
3.630781	nan	nan
3.019952	nan	nan
2.398833	nan	nan
3.019952	nan	nan
3.630781	nan	nan
2.398833	nan	nan
3.019952	nan	nan
3.630781	nan	nan
2.398833	nan	nan
3.162278	nan	nan
3.630781	nan	nan
2.398833	nan	nan
3.162278	nan	nan
3.801894	nan	nan
2.511886	nan	nan
3.162278	nan	nan
3.801894	nan	nan
2.511886	nan	nan
3.162278	nan	nan
3.801894	nan	nan
2.511886	nan	nan
4.168694	nan	nan
3.801894	nan	nan
5.248075	nan	nan
4.168694	nan	nan
3.801894	nan	nan
5.248075	nan	nan
4.168694	nan	nan
3.981072	nan	nan
5.248075	nan	nan
4.168694	nan	nan
3.981072	nan	nan
5.248075	nan	nan
4.168694	nan	nan
3.981072	nan	nan
5.495409	nan	nan
4.365158	nan	nan
3.981072	nan	nan
5.495409	nan	nan
4.365158	nan	nan
3.981072	nan	nan
5.495409	nan	nan
4.365158	nan	nan
6.606934	nan	nan
5.495409	nan	nan
4.365158	nan	nan
6.606934	nan	nan
5.495409	nan	nan
4.365158	nan	nan
6.606934	nan	nan
5.754399	nan	nan
4.570882	nan	nan
6.918310	nan	nan
5.754399	nan	nan
4.570882	nan	nan
6.918310	nan	nan
5.754399	nan	nan
4.570882	nan	nan
5.754399	nan	nan
6.918310	nan	nan
4.570882	nan	nan
5.754399	nan	nan
6.918310	nan	nan
4.570882	nan	nan
6.025596	nan	nan
6.918310	nan	nan
4.786301	nan	nan
6.025596	nan	nan
7.244360	nan	nan
4.786301	nan	nan
6.025596	nan	nan
7.244360	nan	nan
4.786301	nan	nan
6.025596	nan	nan
7.244360	nan	nan
4.786301	nan	nan
6.025596	nan	nan
7.244360	nan	nan
6.309573	nan	nan
4.786301	nan	nan
7.244360	nan	nan
5.011872	nan	nan
6.309573	nan	nan
7.585776	nan	nan
5.011872	nan	nan
6.309573	nan	nan
7.585776	nan	nan
5.011872	nan	nan
6.309573	nan	nan
7.585776	nan	nan
5.011872	nan	nan
6.309573	nan	nan
7.585776	nan	nan
5.011872	nan	nan
6.606934	nan	nan
7.585776	nan	nan
5.248075	nan	nan
6.606934	nan	nan
7.943282	nan	nan
8.317638	nan	nan
7.943282	nan	nan
8.317638	nan	nan
7.943282	nan	nan
8.709636	nan	nan
7.943282	nan	nan
8.709636	nan	nan
7.943282	nan	nan
8.709636	nan	nan
8.317638	nan	nan
8.709636	nan	nan
0.004786	64451.900000	26.118100
8.317638	nan	nan
8.709636	nan	nan
8.317638	nan	nan
9.120108	nan	nan
9.120108	nan	nan
9.120108	nan	nan
9.120108	nan	nan
9.120108	nan	nan
9.549926	nan	nan
9.549926	nan	nan
9.549926	nan	nan
9.549926	nan	nan
9.549926	nan	nan
10.000000	nan	nan
10.000000	nan	nan
10.000000	nan	nan
10.000000	nan	nan
10.000000	nan	nan
0.001660	83590.100000	58.767800
0.002089	82027.500000	61.714800
0.002884	69526.900000	40.359500
0.004786	63670.700000	34.098100
0.003802	66795.700000	33.986300
0.001318	80465.000000	67.039200
0.001660	85152.700000	65.723100
0.001096	74214.600000	70.288600
0.002188	78902.400000	49.088700
0.003020	71089.500000	42.037200
0.003802	67964.300000	28.213600
0.004786	64451.900000	39.643600
0.001096	75777.200000	60.586200
0.001318	82027.500000	67.772700
0.003802	66795.700000	32.951200
0.004786	62889.400000	26.577100
0.003020	69526.900000	39.413700
0.002188	78902.400000	60.649300
0.001738	82027.500000	65.726500
0.003981	65233.200000	32.827700
0.003020	69526.900000	35.282300
0.005012	63670.700000	23.247200
0.001096	75777.200000	64.932800
0.001380	82027.500000	60.855700
0.002188	78902.400000	53.087400
0.001738	85152.700000	64.563400
0.005012	62889.400000	21.933100
0.003020	69526.900000	43.947400
0.001096	74214.600000	63.937300
0.003020	69526.900000	34.477500
0.001738	82027.500000	61.664300
0.001380	82027.500000	71.566100
0.002188	78902.400000	56.206100
0.001096	75777.200000	71.599300
0.001380	83590.100000	67.975100
0.002188	78902.400000	53.732100
0.001738	83590.100000	70.140600
0.001148	77339.800000	61.597200
0.002291	77339.800000	56.725700
0.001380	82027.500000	68.904200
0.001738	85152.700000	62.366600
0.001148	77339.800000	78.154700
0.002291	75777.200000	51.929900
0.002291	74214.600000	56.555900
0.001380	82027.500000	85.001900
0.001148	75777.200000	66.180200
0.001820	83590.100000	68.213900
0.002291	77339.800000	52.715100
0.001445	83590.100000	74.178900
0.001148	75777.200000	64.935200
0.001820	82027.500000	59.587100
0.002291	75777.200000	58.123600
0.001148	75777.200000	67.781100
0.001445	83590.100000	75.597500
0.002399	74214.600000	54.488500
0.001820	83590.100000	57.241500
0.001202	77339.800000	74.570800
0.001445	85152.700000	71.627900
0.002399	77339.800000	44.405400
0.001820	82027.500000	65.618400
0.002399	74214.600000	44.988900
0.001445	82027.500000	56.475700
0.001820	85152.700000	62.241900
0.001445	82027.500000	79.242600
0.002399	77339.800000	43.507700
0.001905	82027.500000	56.530800
0.001514	82027.500000	68.576600
0.001905	82027.500000	58.562500
0.001514	83590.100000	62.396200
0.001905	82027.500000	66.673200